"";"Random Search";"	";"	";"Hillclimbing Classic";"	";"	";"VNS";"	";"	";"BWOA";"	";"	"
"Dataset";"Media";"Desviación";"Tasa de exito";"Media";"Desviación";"Tasa de exito";"Media";"Desviación";"Tasa de exito";"Media";"Desviación";"Tasa de exito"
"./data/files/f1.txt";"295.0";"0.0";"100.0";"295.0";"0.0";"100.0";"295.0";"0.0";"100.0";"295.0";"0.0";"100.0"
"./data/files/f2.txt";"951.1";"21.496";"0.0";"1006.8";"10.186";"6.667";"1021.4";"2.973";"56.667";"1024.0";"0.0";"100.0"
"./data/files/f3.txt";"35.0";"0.0";"83.333";"33.467";"0.846";"6.667";"35.0";"0.0";"96.667";"35.0";"0.0";"100.0"
"./data/files/f4.txt";"23.0";"0.0";"86.667";"23.0";"0.0";"86.667";"23.0";"0.0";"93.333";"23.0";"0.0";"100.0"
"./data/files/f5.txt";"470.244";"11.181";"30.0";"470.752";"8.56";"20.0";"481.069";"0.0";"100.0";"481.069";"0.0";"100.0"
"./data/files/f6.txt";"52.0";"0.0";"100.0";"52.0";"0.0";"100.0";"52.0";"0.0";"100.0";"52.0";"0.0";"100.0"
"./data/files/f7.txt";"107.0";"0.0";"90.0";"107.0";"0.0";"90.0";"107.0";"0.0";"93.333";"107.0";"0.0";"100.0"
"./data/files/f8.txt";"9756.667";"3.553";"0.0";"9764.133";"2.446";"20.0";"9765.967";"1.741";"70.0";"9765.167";"2.001";"50.0"
"Total";"1461.251";"4.529";"61.25";"1469.019";"2.755";"53.75";"1472.555";"0.589";"88.75";"1472.78";"0.25";"93.75"
